iter	Passed	Remaining
500	892	889
501	893	886
502	895	884
503	896	882
504	897	879
505	899	877
506	901	876
507	904	875
508	905	873
509	907	872
510	909	869
511	910	867
512	911	865
513	913	863
514	914	861
515	916	859
516	918	857
517	920	856
518	921	854
519	923	852
520	924	849
521	925	847
522	926	845
523	928	843
524	929	840
525	931	839
526	933	837
527	934	835
528	936	834
529	938	831
530	939	829
531	940	827
532	941	825
533	943	823
534	944	820
535	946	819
536	948	817
537	949	815
538	951	813
539	952	811
540	954	809
541	955	807
542	956	805
543	957	802
544	959	801
545	961	799
546	963	797
547	965	796
548	966	794
549	968	792
550	969	790
551	970	787
552	972	785
553	973	783
554	975	781
555	976	779
556	977	777
557	979	775
558	980	773
559	981	771
560	982	769
561	983	766
562	985	764
563	986	762
564	987	760
565	989	758
566	990	756
567	991	754
568	993	752
569	994	750
570	995	748
571	996	745
572	998	743
573	999	741
574	1000	739
575	1001	737
576	1003	735
577	1004	733
578	1006	731
579	1007	729
580	1008	727
581	1009	725
582	1010	723
583	1012	721
584	1013	718
585	1014	716
586	1015	714
587	1017	712
588	1018	710
589	1019	708
590	1020	706
591	1022	704
592	1023	702
593	1024	700
594	1025	698
595	1026	696
596	1028	694
597	1029	692
598	1030	690
599	1032	688
600	1033	686
601	1034	684
602	1035	682
603	1037	679
604	1038	677
605	1039	675
606	1040	673
607	1042	671
608	1043	669
609	1044	667
610	1045	665
611	1046	663
612	1048	661
613	1049	659
614	1050	657
615	1051	655
616	1053	653
617	1054	651
618	1055	649
619	1057	647
620	1058	645
621	1059	643
622	1060	641
623	1061	639
624	1063	637
625	1064	635
626	1065	634
627	1066	632
628	1068	630
629	1069	628
630	1070	626
631	1071	624
632	1073	622
633	1074	620
634	1075	618
635	1076	616
636	1078	614
637	1079	612
638	1080	610
639	1081	608
640	1082	606
641	1084	604
642	1085	602
643	1086	600
644	1087	598
645	1089	596
646	1090	594
647	1091	593
648	1092	591
649	1094	589
650	1095	587
651	1096	585
652	1097	583
653	1099	581
654	1100	579
655	1101	577
656	1103	575
657	1104	574
658	1105	572
659	1106	570
660	1108	568
661	1109	566
662	1110	564
663	1111	562
664	1113	560
665	1114	558
666	1115	557
667	1116	555
668	1118	553
669	1119	551
670	1120	549
671	1121	547
672	1123	545
673	1124	543
674	1125	541
675	1126	540
676	1128	538
677	1129	536
678	1130	534
679	1131	532
680	1132	530
681	1134	528
682	1135	526
683	1136	525
684	1137	523
685	1139	521
686	1140	519
687	1141	517
688	1142	515
689	1144	514
690	1145	512
691	1146	510
692	1147	508
693	1149	506
694	1150	504
695	1151	503
696	1152	501
697	1154	499
698	1155	497
699	1156	495
700	1157	493
701	1159	492
702	1160	490
703	1161	488
704	1162	486
705	1164	484
706	1165	482
707	1166	481
708	1167	479
709	1169	477
710	1170	475
711	1171	473
712	1173	472
713	1174	470
714	1175	468
715	1176	466
716	1177	464
717	1179	463
718	1180	461
719	1181	459
720	1182	457
721	1184	455
722	1185	454
723	1186	452
724	1187	450
725	1189	448
726	1190	446
727	1191	445
728	1192	443
729	1194	441
730	1195	439
731	1196	438
732	1197	436
733	1198	434
734	1200	432
735	1201	430
736	1202	429
737	1204	427
738	1205	425
739	1206	423
740	1207	422
741	1208	420
742	1210	418
743	1211	416
744	1212	415
745	1214	413
746	1215	411
747	1216	409
748	1218	408
749	1219	406
750	1220	404
751	1221	402
752	1223	401
753	1224	399
754	1225	397
755	1226	395
756	1228	394
757	1229	392
758	1230	390
759	1232	389
760	1233	387
761	1234	385
762	1235	383
763	1237	382
764	1238	380
765	1239	378
766	1240	376
767	1242	375
768	1243	373
769	1244	371
770	1245	370
771	1246	368
772	1248	366
773	1249	364
774	1250	363
775	1252	361
776	1253	359
777	1254	357
778	1255	356
779	1256	354
780	1258	352
781	1259	351
782	1260	349
783	1261	347
784	1263	345
785	1264	344
786	1265	342
787	1267	340
788	1268	339
789	1269	337
790	1271	335
791	1272	334
792	1274	332
793	1275	330
794	1276	329
795	1277	327
796	1279	325
797	1280	324
798	1281	322
799	1283	320
800	1284	319
801	1285	317
802	1287	315
803	1288	314
804	1289	312
805	1290	310
806	1292	309
807	1293	307
808	1294	305
809	1296	304
810	1297	302
811	1298	300
812	1299	298
813	1300	297
814	1302	295
815	1303	293
816	1304	292
817	1306	290
818	1307	289
819	1309	287
820	1310	285
821	1311	284
822	1313	282
823	1314	280
824	1315	279
825	1317	277
826	1318	275
827	1320	274
828	1321	272
829	1322	270
830	1324	269
831	1325	267
832	1327	266
833	1328	264
834	1329	262
835	1331	261
836	1332	259
837	1334	257
838	1336	256
839	1337	254
840	1339	253
841	1341	251
842	1342	250
843	1343	248
844	1345	246
845	1346	245
846	1348	243
847	1349	241
848	1351	240
849	1352	238
850	1353	236
851	1354	235
852	1356	233
853	1357	232
854	1358	230
855	1360	228
856	1361	227
857	1363	225
858	1364	224
859	1366	222
860	1368	220
861	1369	219
862	1371	217
863	1372	216
864	1373	214
865	1375	212
866	1376	211
867	1378	209
868	1380	208
869	1382	206
870	1384	205
871	1385	203
872	1387	201
873	1388	200
874	1389	198
875	1390	196
876	1392	195
877	1394	193
878	1396	192
879	1398	190
880	1400	189
881	1401	187
882	1402	185
883	1403	184
884	1405	182
885	1406	180
886	1409	179
887	1411	178
888	1413	176
889	1415	174
890	1416	173
891	1417	171
892	1418	170
893	1420	168
894	1421	166
895	1423	165
896	1425	163
897	1427	162
898	1429	160
899	1430	158
900	1432	157
901	1433	155
902	1434	154
903	1435	152
904	1437	150
905	1439	149
906	1441	147
907	1443	146
908	1444	144
909	1446	143
910	1447	141
911	1448	139
912	1450	138
913	1451	136
914	1453	135
915	1455	133
916	1457	131
917	1458	130
918	1459	128
919	1461	127
920	1462	125
921	1464	123
922	1465	122
923	1466	120
924	1468	119
925	1470	117
926	1472	115
927	1473	114
928	1475	112
929	1476	111
930	1477	109
931	1479	107
932	1480	106
933	1482	104
934	1484	103
935	1486	101
936	1487	100
937	1489	98
938	1490	96
939	1491	95
940	1493	93
941	1494	92
942	1495	90
943	1497	88
944	1499	87
945	1501	85
946	1503	84
947	1504	82
948	1505	80
949	1507	79
950	1508	77
951	1509	76
952	1511	74
953	1513	72
954	1515	71
955	1517	69
956	1518	68
957	1519	66
958	1521	65
959	1522	63
960	1523	61
961	1525	60
962	1527	58
963	1529	57
964	1531	55
965	1532	53
966	1533	52
967	1535	50
968	1536	49
969	1537	47
970	1538	45
971	1540	44
972	1542	42
973	1544	41
974	1546	39
975	1547	38
976	1548	36
977	1550	34
978	1551	33
979	1552	31
980	1554	30
981	1556	28
982	1558	26
983	1559	25
984	1561	23
985	1562	22
986	1564	20
987	1565	19
988	1566	17
989	1568	15
990	1570	14
991	1572	12
992	1574	11
993	1576	9
994	1577	7
995	1579	6
996	1580	4
997	1581	3
998	1582	1
999	1583	0
